       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        3  1120448        5.455128          5.446734   2.668294
1       0.0      1    50000.0   99999.0        1  1114003        4.565798          4.555258   2.305513
2       0.0      2   100000.0  149999.0        1  1072907        4.386148          4.380504   2.333184
3       0.0      3   150000.0  199999.0        0  1092642        5.491640          5.481144   2.747979
4       0.0      4   200000.0  249999.0        1  1126873        6.363657          6.351112   3.053495
5       0.0      5   250000.0  299999.0        1  1142987        6.070236          6.075883   2.675228
6       0.0      6   300000.0  349999.0        1  1113675        6.118748          6.122736   2.654451
7       0.0      7   350000.0  399999.0        1  1092479        5.626023          5.632600   2.498419
8       0.0      8   400000.0  449999.0        1  1126673        5.167198          5.168227   2.717008
9       0.0      9   450000.0  499999.0        1  1132642        5.137782          5.146417   2.864964
10      0.0     10   500000.0  549999.0        1  1134868        5.157954          5.149499   2.622545
11      0.0     11   550000.0  599999.0        1  1119058        6.174500          6.175820   2.871558
12      0.0     12   600000.0  649999.0        1  1098326        5.259333          5.259815   2.656151
13      0.0     13   650000.0  699999.0        1  1134528        6.426902          6.423701   3.149797
14      0.0     14   700000.0  749999.0        1  1131376        5.876644          5.877219   2.992032
15      0.0     15   750000.0  799999.0        1  1136202        6.531891          6.528738   3.088256
16      0.0     16   800000.0  849999.0        1  1112850        6.021428          6.013898   2.688678
17      0.0     17   850000.0  899999.0        1  1128502        5.260675          5.258291   2.508396
18      0.0     18   900000.0  949999.0        1  1112028        4.603029          4.607658   2.519370
19      0.0     19   950000.0  999999.0        0  1057973        4.923681          4.915016   2.603003
20    100.0      0        0.0   49999.0        3  1120448        2.732958          2.726825   2.705547
21    100.0      1    50000.0   99999.0        1  1114003        1.955135          1.947605   2.280393
22    100.0      2   100000.0  149999.0        1  1072907        2.108989          2.105537   2.436944
23    100.0      3   150000.0  199999.0        0  1092642        2.921476          2.911078   2.860885
24    100.0      4   200000.0  249999.0        1  1126873        3.397891          3.391572   3.098572
25    100.0      5   250000.0  299999.0        1  1142987        2.815287          2.819096   2.820940
26    100.0      6   300000.0  349999.0        1  1113675        2.469310          2.468557   2.607355
27    100.0      7   350000.0  399999.0        1  1092479        2.697535          2.701890   2.537655
