    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
0       0        0.0   4999.0             [13712.0]     [-0.6163930292677643]    [-0.42319967312336604]   [0.014702397197197204]     0.0
1       1     5000.0   9999.0             [13712.0]     [-0.5421623243500373]     [-0.4231996731233654]   [0.014651284884884881]     0.0
2       2    10000.0  14999.0             [13712.0]     [-0.5658148662363258]     [-0.4231996731233654]   [0.015456277877877893]     0.0
3       3    15000.0  19999.0          [13712.9624]    [-0.38939451511191886]    [-0.42878642949517604]   [0.017214107307307314]     0.0
4       4    20000.0  24999.0  [13715.000000000004]    [-0.41166927119550384]     [-0.4406121617854213]   [0.015223461861861829]     0.0
5       5    25000.0  29999.0  [13714.999999999996]     [-0.3043697650817534]     [-0.4406129729468564]    [0.01673610130130126]     0.0
6       6    30000.0  34999.0  [13715.274399999997]    [-0.46571867595329125]    [-0.44066810185733746]   [0.015751338538538523]     0.0
7       7    35000.0  39999.0  [13716.999999999996]     [-0.3177191394221113]    [-0.44101164494751693]   [0.016960895295295278]     0.0
8       8    40000.0  44999.0  [13710.068599999997]    [-0.46865321390030323]    [-0.43974253359463633]   [0.015035700500500477]     0.0
9       9    45000.0  49999.0  [13592.426999999994]    [-0.33479293015313355]     [-0.4797823252654728]   [0.016115492692692666]     0.0
10     10    50000.0  54999.0   [13270.06539999999]     [-0.5397229320042234]     [-0.6111336374961559]   [0.015386861661661654]     0.0
11     11    55000.0  59999.0  [13287.345999999994]     [-0.5401397218508287]     [-0.6162546317422432]    [0.01608280120120117]     0.0
12     12    60000.0  64999.0   [13287.99999999999]     [-0.5490792553140733]     [-0.6168800811855243]    [0.01426074954954951]     0.0
13     13    65000.0  69999.0  [13287.999999999995]     [-0.8388729023621303]     [-0.6168800811854979]   [0.013649920320320334]     0.0
14     14    70000.0  74999.0  [13507.386799999991]     [-0.6963524091914751]     [-0.6509128247297418]   [0.014683549949949923]     0.0
15     15    75000.0  79999.0  [13533.839999999995]     [-0.7308095744172926]     [-0.6563669501503638]   [0.012787983583583594]     0.0
16     16    80000.0  84999.0  [13378.999999999995]     [-0.6621477051170903]     [-0.6341108801607017]   [0.013747926726726718]     0.0
17     17    85000.0  89999.0  [13378.999999999996]     [-0.6047953042412841]     [-0.6341108801607034]   [0.013586391991991988]     0.0
18     18    90000.0  94999.0  [13379.000000000002]     [-0.5638377302125529]     [-0.6341108801607032]   [0.014215403403403406]     0.0
19     19    95000.0  99999.0   [13379.00000000001]     [-0.8849667638425783]     [-0.6341108801607055]   [0.012244735535535537]     0.0
0       0        0.0   4999.0           [10218.095]    [-0.23726705507470638]    [-0.03521822825761246]   [0.015546120603015115]    95.0
1       1     5000.0   9999.0  [10205.000000000002]    [-0.21206605353516333]    [-0.03211790689169747]   [0.015900844221105565]    95.0
2       2    10000.0  14999.0  [10205.000000000002]    [-0.04411768134884452]   [-0.032117906891696774]   [0.017565266331658315]    95.0
3       3    15000.0  19999.0  [10205.000000000002]    [-0.03300401705433384]    [-0.03211790689169747]   [0.018840412060301553]    95.0
4       4    20000.0  24999.0  [10311.969600000002]    [-0.10195872166984432]    [-0.07459527929632075]   [0.016749396984924662]    95.0
5       5    25000.0  29999.0  [10342.000000000002]     [0.07595279088461286]    [-0.08636230942125285]   [0.019103276381909624]    95.0
6       6    30000.0  34999.0  [10342.000000000002]    [-0.10063025665089473]    [-0.08636230942125421]   [0.017020522613065373]    95.0
7       7    35000.0  39999.0  [10342.000000000002]    [0.019561993876318854]    [-0.08636230942125216]   [0.018295698492462372]    95.0
8       8    40000.0  44999.0  [10342.000000000002]    [-0.20447531014033118]    [-0.10122756878664796]   [0.016738703517587997]    95.0
9       9    45000.0  49999.0  [10223.807200000001]    [-0.14102741786626424]    [-0.15735948417065435]   [0.017874000000000046]    95.0
