       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
0       0.0      0        0.0   49999.0        1  1147564        6.412018          6.423823   2.072402
1       0.0      1    50000.0   99999.0        0  1159587        6.501222          6.500669   2.402575
2       0.0      2   100000.0  149999.0        0  1129385        7.670670          7.671856   3.051472
3       0.0      3   150000.0  199999.0        1  1097180        5.731939          5.738718   2.142862
4       0.0      4   200000.0  249999.0        1  1108591        6.444451          6.448715   2.187147
5       0.0      5   250000.0  299999.0        2  1096043        7.444233          7.450185   2.227710
6       0.0      6   300000.0  349999.0        2  1121349       10.041983         10.037586   2.092034
7       0.0      7   350000.0  399999.0        1  1106301        7.984900          7.984193   2.548567
8       0.0      8   400000.0  449999.0        2  1113896        6.760229          6.763408   2.530421
9       0.0      9   450000.0  499999.0        1  1104479        8.222959          8.228572   2.018761
10      0.0     10   500000.0  549999.0        0  1111883        8.645544          8.642217   2.209976
11      0.0     11   550000.0  599999.0        3  1115884        8.890427          8.897660   2.027717
12      0.0     12   600000.0  649999.0        1  1103926        8.043134          8.045905   2.885209
13      0.0     13   650000.0  699999.0        1  1071499        8.251430          8.248797   2.441741
14      0.0     14   700000.0  749999.0        0  1102408        7.199660          7.206151   2.543217
15      0.0     15   750000.0  799999.0        0  1099269        5.459086          5.462862   1.841824
16      0.0     16   800000.0  849999.0        0  1099265        8.007984          7.994496   1.584654
17      0.0     17   850000.0  899999.0        1  1115458       10.200219         10.194645   2.048605
18      0.0     18   900000.0  949999.0        2  1151205       10.173676         10.180508   1.916314
19      0.0     19   950000.0  999999.0        1  1125891        9.596132          9.592837   2.142832
20    100.0      0        0.0   49999.0        1  1147564        3.586293          3.591885   2.143474
21    100.0      1    50000.0   99999.0        0  1159587        3.739207          3.738730   2.520631
22    100.0      2   100000.0  149999.0        0  1129385        4.286571          4.287511   3.068158
23    100.0      3   150000.0  199999.0        1  1097180        3.491768          3.494809   2.364765
24    100.0      4   200000.0  249999.0        1  1108591        3.706146          3.710842   2.295634
25    100.0      5   250000.0  299999.0        2  1096043        4.380283          4.381634   2.309568
26    100.0      6   300000.0  349999.0        2  1121349        6.063502          6.062773   2.100825
27    100.0      7   350000.0  399999.0        1  1106301        4.510793          4.509419   2.554727
28    100.0      8   400000.0  449999.0        2  1113896        3.627440          3.627673   2.541397
29    100.0      9   450000.0  499999.0        1  1104479        4.473765          4.478467   1.963566
30    100.0     10   500000.0  549999.0        0  1111883        4.922186          4.919718   2.190734
31    100.0     11   550000.0  599999.0        3  1115884        5.320549          5.322853   2.059787
32    100.0     12   600000.0  649999.0        1  1103926        4.594954          4.596897   2.911302
33    100.0     13   650000.0  699999.0        1  1071499        4.681630          4.679290   2.438771
34    100.0     14   700000.0  749999.0        0  1102408        3.800402          3.806049   2.501381
35    100.0     15   750000.0  799999.0        0  1099269        3.051460          3.053505   1.959115
36    100.0     16   800000.0  849999.0        0  1099265        5.091182          5.086382   1.692273
37    100.0     17   850000.0  899999.0        1  1115458        6.215317          6.214603   2.064195
38    100.0     18   900000.0  949999.0        2  1151205        6.204624          6.205922   1.929623
39    100.0     19   950000.0  999999.0        1  1125891        5.609791          5.607845   2.122854
40    200.0      0        0.0   49999.0        1  1147564        4.157228          4.161131   2.321684
41    200.0      1    50000.0   99999.0        0  1159587        4.030044          4.030662   2.625198
42    200.0      2   100000.0  149999.0        0  1129385        4.299546          4.296895   3.072253
43    200.0      3   150000.0  199999.0        1  1097180        3.715616          3.719138   2.443279
44    200.0      4   200000.0  249999.0        1  1108591        3.869608          3.875077   2.349001
45    200.0      5   250000.0  299999.0        2  1096043        4.434302          4.436603   2.326192
46    200.0      6   300000.0  349999.0        2  1121349        6.037005          6.037455   2.095718
47    200.0      7   350000.0  399999.0        1  1106301        4.478319          4.475232   2.543523
48    200.0      8   400000.0  449999.0        2  1113896        3.598182          3.602198   2.530685
49    200.0      9   450000.0  499999.0        1  1104479        4.838292          4.842896   2.056586
50    200.0     10   500000.0  549999.0        0  1111883        4.933833          4.929582   2.194334
51    200.0     11   550000.0  599999.0        3  1115884        4.794492          4.799999   1.934103
52    200.0     12   600000.0  649999.0        1  1103926        4.360284          4.361203   2.824425
53    200.0     13   650000.0  699999.0        1  1071499        4.825637          4.828589   2.483502
54    200.0     14   700000.0  749999.0        0  1102408        3.805190          3.806689   2.502713
55    200.0     15   750000.0  799999.0        0  1099269        3.204333          3.207269   2.007435
56    200.0     16   800000.0  849999.0        0  1099265        5.183230          5.176038   1.710617
57    200.0     17   850000.0  899999.0        1  1115458        6.213934          6.213164   2.063674
58    200.0     18   900000.0  949999.0        2  1151205        6.184797          6.185854   1.924847
59    200.0     19   950000.0  999999.0        1  1125891        5.429538          5.425588   2.078373
60    300.0      0        0.0   49999.0        1  1147564        4.198453          4.202731   2.336508
61    300.0      1    50000.0   99999.0        0  1159587        4.151842          4.152629   2.670767
62    300.0      2   100000.0  149999.0        0  1129385        4.191783          4.190870   3.030028
63    300.0      3   150000.0  199999.0        1  1097180        3.758561          3.759304   2.459706
64    300.0      4   200000.0  249999.0        1  1108591        3.674571          3.679194   2.402265
65    300.0      5   250000.0  299999.0        2  1096043        3.811953          3.813761   2.323836
66    300.0      6   300000.0  349999.0        2  1121349        4.529147          4.527781   2.137569
67    300.0      7   350000.0  399999.0        1  1106301        4.333910          4.331291   2.496657
68    300.0      8   400000.0  449999.0        2  1113896        3.060076          3.061908   2.331718
69    300.0      9   450000.0  499999.0        1  1104479        4.223693          4.229256   1.900298
70    300.0     10   500000.0  549999.0        0  1111883        5.052588          5.049606   2.226380
71    300.0     11   550000.0  599999.0        3  1115884        4.954463          4.959135   1.972400
72    300.0     12   600000.0  649999.0        1  1103926        4.370509          4.370151   2.827810
73    300.0     13   650000.0  699999.0        1  1071499        4.685046          4.690284   2.440249
74    300.0     14   700000.0  749999.0        0  1102408        3.363024          3.363089   2.345601
75    300.0     15   750000.0  799999.0        0  1099269        2.595129          2.598277   1.817364
76    300.0     16   800000.0  849999.0        0  1099265        3.235826          3.236377   1.754554
77    300.0     17   850000.0  899999.0        1  1115458        2.996711          2.997755   2.078400
78    300.0     18   900000.0  949999.0        2  1151205        2.915341          2.919306   1.947799
79    300.0     19   950000.0  999999.0        1  1125891        4.424420          4.420019   2.152038
80    400.0      0        0.0   49999.0        1  1147564        4.019100          4.022926   2.276711
81    400.0      1    50000.0   99999.0        0  1159587        3.961064          3.960934   2.598677
82    400.0      2   100000.0  149999.0        0  1129385        4.323805          4.321237   3.080735
83    400.0      3   150000.0  199999.0        1  1097180        3.675106          3.679543   2.428576
84    400.0      4   200000.0  249999.0        1  1108591        3.851600          3.859047   2.461546
85    400.0      5   250000.0  299999.0        2  1096043        4.260639          4.261813   2.469942
86    400.0      6   300000.0  349999.0        2  1121349        4.553788          4.555390   2.141909
87    400.0      7   350000.0  399999.0        1  1106301        4.447712          4.446141   2.531547
88    400.0      8   400000.0  449999.0        2  1113896        2.928062          2.926786   2.281328
89    400.0      9   450000.0  499999.0        1  1104479        4.039326          4.046125   1.851218
90    400.0     10   500000.0  549999.0        0  1111883        4.684670          4.682300   2.125851
91    400.0     11   550000.0  599999.0        3  1115884        4.408917          4.413509   1.838776
92    400.0     12   600000.0  649999.0        1  1103926        3.987845          3.987403   2.684072
93    400.0     13   650000.0  699999.0        1  1071499        4.455351          4.463157   2.368044
94    400.0     14   700000.0  749999.0        0  1102408        3.088324          3.082458   2.246121
95    400.0     15   750000.0  799999.0        0  1099269        1.466319          1.468247   1.463988
96    400.0     16   800000.0  849999.0        0  1099265        5.392980          5.386904   1.751219
97    400.0     17   850000.0  899999.0        1  1115458        6.218055          6.219024   2.062375
98    400.0     18   900000.0  949999.0        2  1151205        6.219609          6.222183   1.929582
99    400.0     19   950000.0  999999.0        1  1125891        5.759282          5.753788   2.155578
100   500.0      0        0.0   49999.0        1  1147564        4.225523          4.229298   2.343218
101   500.0      1    50000.0   99999.0        0  1159587        3.804669          3.804929   2.543791
102   500.0      2   100000.0  149999.0        0  1129385        4.372777          4.370317   3.102214
103   500.0      3   150000.0  199999.0        1  1097180        3.862366          3.865446   2.495352
