SimID:3
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
262702
394082
514609
266124
342813
997809
550343
464427
388851
944757
254817
554760
693146
456440
218501
146940
649805
271048
359798
499702


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,262702,0.5
1,394082,0.5
1,514609,0.5
1,266124,0.5
1,342813,0.5
1,997809,0.5
1,550343,0.5
1,464427,0.5
1,388851,0.5
1,944757,0.5
1,254817,0.5
1,554760,0.5
1,693146,0.5
1,456440,0.5
1,218501,0.5
1,146940,0.5
1,649805,0.5
1,271048,0.5
1,359798,0.5
1,499702,0.5
5000,262702,0.4927
5000,394082,0.4983
5000,514609,0.509
5000,266124,0.5075
5000,342813,0.4951
5000,997809,0.4475
5000,550343,0.4904
5000,464427,0.4862
5000,388851,0.5014
5000,944757,0.5188
5000,254817,0.5078
5000,554760,0.4905
5000,693146,0.502
5000,456440,0.5144
5000,218501,0.5026
5000,146940,0.4637
5000,649805,0.5017
5000,271048,0.4927
5000,359798,0.4945
5000,499702,0.5108
