SimID:8
N=10000, GenomeSize=1000000, L=20, d=0.6, y=2, mut_rate=0, rec_rate=1e-08, g=10
Summer positions:
130080
830830
242037
730903
353263
860908
966136
27073
406616
511853
349496
513997
617542
213049
629133
329479
267599
597305
970226
270818


 FREQUENCIES 
Gen,mut_pos,mut_freq
1,130080,0.5
1,830830,0.5
1,242037,0.5
1,730903,0.5
1,353263,0.5
1,860908,0.5
1,966136,0.5
1,27073,0.5
1,406616,0.5
1,511853,0.5
1,349496,0.5
1,513997,0.5
1,617542,0.5
1,213049,0.5
1,629133,0.5
1,329479,0.5
1,267599,0.5
1,597305,0.5
1,970226,0.5
1,270818,0.5
5000,130080,0.5178
5000,830830,0.5164
5000,242037,0.5097
5000,730903,0.4879
5000,353263,0.4911
5000,860908,0.4837
5000,966136,0.5169
5000,27073,0.4687
5000,406616,0.4914
5000,511853,0.5106
5000,349496,0.4911
5000,513997,0.4894
5000,617542,0.49
5000,213049,0.5109
5000,629133,0.5111
5000,329479,0.5093
5000,267599,0.5092
5000,597305,0.4912
5000,970226,0.4831
5000,270818,0.5092
